TM_TR,TM_MODEL,TM_KP,TM_NET,TM_ID,CONFERENCE,CONF_TYPE,WIN_25,LOSS_25,SEED_25,REG_SEED_25,REG_CODE_25,REGION_25,VEGAS_25,NET_25,BPI_25,BPI_Rk_25,TR_AdjEff_25,TR_ORk_25,TR_DRk_25,TR_AdjEff_25,TR_OEff_25,TR_DEff_25,WIN_24,LOSS_24,SEED_24,VEGAS_24,WIN_23,LOSS_23,SEED_23,KP_Rank,KP_AdjEM,KP_AdjO_Rk,KP_AdjO,KP_AdjD_Rk,KP_AdjD,KP_SOS_AdjEM,KP_NCSOS_AdjEM,BPI_Rank,BPI_24,PTS/GM,AVG MARGIN,FGM/GM,FGA/GM,OFF EFF,DEF EFF,NET_eFG%,eFG%,TS%,3PT%,2PT%,FT%,3PTM/GM,3PTA/GM,OFF REB/GM,DEF REB/GM,TTL REB/GM,OFF REB%,DEF REB%,TTL REB%,BLKS/GM,STL/GM,AST/GM,TO/GM,AST/TO%,WIN% ALL GM,WIN% CLOSE GM,POSS/GM,PF/GM,OPP PTS/GM,OPP AVG MARGIN,OPP FG%,OPP eFG%,OPP 3PT%,OPP 2PT%,OPP FT%,OPP TS%,OPP AST/GM,OPP TO/GM,OPP AST/TO%,NET AST/TOV RATIO,STOCKS/GM,STOCKS-TOV/GM
S Dakota St,South Dakota St.,South Dakota St.,South Dakota St.,1355,Sum,MM,20,12,,,,,,130,-0.1,136,,43,119,,1.107,1.051,22,12,15,,19,13,0,135,2.68,107,109.7,151,107,180,68.9,,,79,4,28.2,60.5,1.107,1.051,2.7,53.6,113.8,34.8,54.5,75.3,8.4,24.2,9.8,27.1,40.3,31.5,79.8,56.6,2.3,4.4,13.8,12.3,1.12,0.586,0.5,71.4,16.9,75.1,-4,43,50.9,32.9,52.3,76.2,109.1,11.9,8.9,1.341,-0.22,6.7,-5.6
Cleveland St,Cleveland St.,Cleveland St.,Cleveland St.,1156,Horz,MM,20,13,,,,,,174,-1.7,159,,160,225,,1.031,0.998,20,14, ,,21,13,0,168,-0.38,185,103.7,105,104.1,118,65.3,,,70.3,2.3,25.6,57.9,1.031,0.998,-1.7,49.5,105.9,32.6,49.8,72.8,6.1,18.7,9.9,19.6,32.9,33,69.2,49.9,4.3,8,13,11.9,1.092,0.606,0.4,68.2,17.9,68,-2.3,44.2,51.2,35,50.3,70,109.4,12.9,14.5,0.89,0.20,12.3,0.4
Montana,Montana,Montana,Montana,1285,BSky,MM,18,15,14,E14,E,EAST,,143,-1.2,143,,71,53,,1.085,1.083,23,11, ,,17,14,0,157,0.38,95,110.8,200,110.4,250,67,,,75.2,0.2,26.8,54.3,1.085,1.083,3.5,56,118.4,36.3,56.9,74.6,7.3,20,5.4,21.5,30.4,19.7,73,48,3,6.1,13.2,10.9,1.216,0.688,0.8,69.3,16.5,75,-0.2,46.6,52.5,33.6,53.7,74.2,111.8,12.4,10.5,1.175,0.04,9.1,-1.8
Minnesota,Minnesota,Minnesota,Minnesota,1278,B10,P5,17,15,,,,,,96,6.0,85,,190,142,,1.014,1.038,18,14, ,,0,0,0,90,8.44,102,110.1,69,101.7,80,62.6,,,68.1,-1.7,24.9,56.4,1.014,1.038,-0.2,49.9,104.9,32.2,50.7,66.4,6.5,20.3,8.5,21.9,33.8,27.1,72.9,49.4,4.7,6,15.2,10.8,1.408,0.469,0.667,67.1,17.5,69.7,1.7,44.2,50.1,34.5,49.2,74.3,107.8,14.9,10.6,1.407,0.00,10.7,-0.1
Syracuse,Syracuse,Syracuse,Syracuse,1393,ACC,P5,20,11,,,,,,133,5.4,88,,145,53,,1.040,1.083,20,12, ,,17,15,0,117,4.41,100,110.3,129,105.9,153,68.1,,,74.7,-3.1,27.2,59.5,1.04,1.083,-1.9,51,108.4,32.8,51.9,70.5,6.4,19.5,9,24.6,37.1,28.2,75.2,52.7,2.5,4.9,13.6,12.6,1.08,0.424,0.333,71.8,16.4,77.8,3.1,46.3,52.9,34.5,53.6,71.6,111.9,13.2,9.8,1.346,-0.27,7.4,-5.2
Oklahoma,Oklahoma,Oklahoma,Oklahoma,1328,SEC,MM,20,12,9,W9,W,WEST,,43,11.5,43,,55,122,,1.099,1.048,20,12, ,,15,17,0,38,18.36,21,119,63,100.7,70,68.5,,,78.3,3.6,26.1,55.7,1.099,1.048,3.4,54.4,118.1,36.5,54.1,79.5,8.5,23.2,7.2,22.1,32.1,25.2,69.7,48.3,2.3,7.8,13.4,12.1,1.112,0.588,0.5,71.2,18.5,74.6,-3.6,44.6,51,30.3,55,72.8,109.4,12.3,12.7,0.965,0.15,10.1,-2.0
Oregon,Oregon,Oregon,Oregon,1332,B10,P5,25,6,5,E5,E,EAST,,29,13.2,34,,83,227,,1.077,0.997,23,11,11,,19,14,0,31,20.15,38,116.6,28,96.5,31,67.6,,,76.5,5.7,27.1,58.9,1.077,0.997,3.6,52.5,112.4,34.4,53.1,75.7,7.7,22.5,8.1,23.7,35.8,27.4,72.1,51.5,3.7,7.2,14.3,11.3,1.268,0.714,0.7,71.1,16.3,70.9,-5.7,42.9,48.9,31.6,49.8,71.8,104.2,13,12.1,1.068,0.20,10.9,-0.4
Fairfield,Fairfield,Fairfield,Fairfield,1193,MAAC,MM,13,17,,,,,,327,-8.5,242,,252,62,,0.978,1.078,22,12, ,,13,18,0,333,-15.93,254,98.2,245,114.1,314,66,,,66.7,-6.8,24.2,59.9,0.978,1.078,-7.4,46.3,99.3,31.5,45.8,73.3,7.2,23,9.3,20.8,32.4,27.1,71.7,47,3,6.6,12.3,10.4,1.19,0.355,0.778,68.2,16.4,73.5,6.8,47,53.7,36,53.4,77.1,114.4,13.9,12.2,1.143,0.05,9.6,-0.8
Colorado St,Colorado St.,Colorado St.,Colorado St.,1161,MWC,MM,21,10,12,W12,W,WEST,,47,10.5,52,,53,237,,1.101,0.986,24,10,10,,15,18,0,42,17.29,42,116.2,44,98.9,49,66,,,75.2,7.9,26.5,55.4,1.101,0.986,7,55.5,117.9,36.3,56.4,77.5,8.6,23.8,7.2,24.5,34.9,25.3,75.7,52.3,2.8,5.1,16.5,11.5,1.435,0.722,0.714,68.3,17.2,67.3,-7.9,42.2,48.5,33.2,47.7,68.5,103.4,11.1,11.2,0.988,0.45,7.9,-3.6
W Carolina,Western Carolina,Western Carolina,Western Caro.,1441,SC,MM,8,22,,,,,,342,-11.8,265,,282,38,,0.910,1.093,22,10, ,,18,15,0,338,-17.1,270,95.2,227,112.3,287,70.3,,,67.1,-13.5,23.2,60.7,0.91,1.093,-5.7,45.4,98.1,29.7,46.3,73.5,8.7,29.2,8.5,25.5,37.1,24.3,73.3,48.1,3.2,4.9,11.3,13.7,0.829,0.185,0.429,73.7,17.6,80.6,13.5,43.9,51.1,32.6,52.8,74.5,109.8,15.1,9.7,1.548,-0.72,8.1,-5.6
Penn St,Penn St.,Penn St.,Penn St.,1336,B10,P5,27,6,,,,,,66,9.5,56,,66,207,,1.089,1.009,16,17, ,,22,13,10,60,13.65,62,114.7,66,101,74,69.8,,,79.1,5.9,27.7,57.8,1.089,1.009,2.2,54.1,115.9,34.3,55.6,75.6,7.2,20.9,7.8,22.9,33.7,26.2,73.2,50.2,4.1,8.1,16,12.4,1.292,0.516,0.111,72.6,16.5,73.2,-5.9,45.1,51.9,35.3,51.3,72.6,109.8,16.9,14.1,1.2,0.09,12.2,-0.2
Wisconsin,Wisconsin,Wisconsin,Wisconsin,1458,B10,P5,24,7,3,E3,E,EAST,,15,16.0,18,,16,215,,1.135,1.004,22,13,5,,17,14,0,13,25.98,13,122,24,96,27,67.6,,,80.1,9.2,26.8,59,1.135,1.004,5.7,53.8,116.8,34.8,55.2,82.6,9.9,28.4,7.5,25.5,36.5,24.8,75.2,51.7,2.4,5.1,14.5,9.6,1.508,0.73,0.429,70.6,16.5,70.9,-9.2,41.6,48.1,33.3,46.9,72.9,102.9,12.6,10,1.268,0.24,7.5,-2.1
Kansas,Kansas,Kansas,Kansas,1242,B12,P5,21,11,7,W7,W,WEST,,20,16.9,13,,104,261,,1.061,0.970,22,10,4,,27,7,1,21,23.26,46,116,11,92.7,11,68.4,,,76.1,6.5,28.9,61.6,1.061,0.97,6.8,53.1,110.8,35.4,53,71.6,7.4,21,8.9,25.9,38.5,28,74.5,52.6,4.7,6.2,17.7,11.8,1.498,0.618,0.667,71.7,14.3,69.6,-6.5,40,46.3,30.8,46.3,73.1,99.8,12.9,10.9,1.186,0.31,10.9,-0.9
Virginia Tech,Virginia Tech,Virginia Tech,Virginia Tech,1439,ACC,P5,23,8,,,,,,167,1.9,111,,200,78,,1.010,1.068,18,14, ,,19,14,0,161,0.2,154,106.4,134,106.2,161,65.1,,,69.2,-4,24.5,55.6,1.01,1.068,-1.1,51.2,108.6,35,50.3,71.4,7.9,22.5,8.4,21.9,33.3,28.4,73.1,50.9,1.9,5.4,12.6,13.4,0.94,0.406,0.625,68.5,17,73.2,4,45.5,52.3,32.6,54.6,75.8,111.7,14.3,10.8,1.318,-0.38,7.3,-6.1
Winthrop,Winthrop,Winthrop,Winthrop,1457,BSth,MM,20,12,,,,,,163,0.0,135,,89,138,,1.072,1.040,17,15, ,,15,17,0,163,-0.03,129,108.3,172,108.3,211,72.6,,,82.3,2.5,27.9,59.5,1.072,1.04,1.9,53.3,112.7,33.8,55,66.2,7.7,22.8,9.4,23.8,37.1,28.6,71.1,49.9,3.3,7.8,12.2,13.2,0.92,0.645,0.875,76.8,20.3,79.8,-2.5,44.8,51.4,35.2,50.6,72.5,110.3,12.8,14,0.915,0.01,11.1,-2.1
Mississippi,Mississippi,Mississippi,Ole Miss,1279,SEC,MM,22,9,6,S6,S,SOUTH,,28,13.6,32,,80,222,,1.080,1.001,20,12, ,,0,0,0,26,22.09,31,117.8,23,95.8,25,68,,,77.4,5.7,26.7,59.8,1.08,1.001,1.3,51.6,110.7,34.8,51.1,73.6,8.3,23.9,7.3,22.5,33.1,22.9,71.9,46.9,3.7,8.8,14.2,9,1.573,0.686,0.583,71.6,18.2,71.7,-5.7,43.2,50.3,32.5,51.6,70.5,108.3,13.9,14.2,0.982,0.59,12.5,3.5
Ohio St,Ohio St.,Ohio St.,Ohio St.,1326,B10,P5,28,4,,,,,,41,12.7,37,,57,171,,1.098,1.024,20,13, ,,16,19,0,39,18.3,33,117.6,47,99.3,54,67,,,78.8,5.3,27.4,58.9,1.098,1.024,4.9,53.5,114.4,36.8,52.6,74.8,8.2,22.2,7.9,22.4,33.7,26.6,71.5,49.7,3.6,6.5,13.2,10.9,1.209,0.531,0.5,71.8,19.6,73.5,-5.3,42.8,48.6,30.5,50.3,75.2,106.9,11.9,11.8,1.011,0.20,10.1,-0.8
N Alabama,North Alabama,North Alabama,North Ala.,1466,ASun,MM,24,9,,,,,,113,0.1,134,,31,167,,1.119,1.025,10,21,0,,18,14,0,111,4.91,88,111.9,151,107,182,66.5,,,77.5,6.5,28.2,62.3,1.119,1.025,0.9,51.3,108.5,34.6,51,70.4,7.5,21.5,10.6,24.2,37.8,31.7,72.9,52.1,3.2,7.2,11.9,8.7,1.378,0.667,0.4,69.3,15,71,-6.5,43.3,50.4,32.5,51.6,69.8,106.3,13.2,11.2,1.178,0.20,10.4,1.7
Louisiana,Louisiana,Louisiana,Louisiana,1418,SB,MM,12,21,,,,,,320,-8.1,237,,267,78,,0.946,1.068,19,14, ,,26,7,13,316,-13.48,258,97.7,214,111.2,265,66.2,,,64.9,-8.4,22.8,57.3,0.946,1.068,-5.6,45.7,99.2,31.3,45,72.9,6.8,21.8,7.3,19.4,30.4,22.8,65.8,44.1,2.9,7.1,10.3,10.7,0.965,0.344,0.636,68.6,17.4,73.3,8.4,45.5,51.3,31.5,53.8,73,111.5,12.2,12.8,0.954,0.01,10.0,-0.7
Texas A&M,Texas A&M,Texas A&M,Texas A&M,1401,SEC,MM,22,9,4,S4,S,SOUTH,,18,15.6,22,,111,257,,1.059,0.975,20,14,9,,25,9,7,17,24.08,42,116.2,7,92.1,7,66.1,,,74.6,5.9,25.2,60.3,1.059,0.975,-0.7,47.6,103.5,30.7,48.6,69.2,7,22.7,13.5,23.3,41,39.7,74.5,55.9,4,7.6,11.9,12.2,0.981,0.677,0.667,70.4,17.5,68.7,-5.9,40.6,48.3,33.3,46.8,76.8,106,14.6,13.3,1.098,-0.12,11.6,-0.6
Georgia,Georgia,Georgia,Georgia,1208,SEC,MM,22,9,9,MW9,MW,MIDWEST,,33,12.5,38,,97,234,,1.068,0.991,17,16, ,,16,16,0,34,19.39,53,115.4,24,96,26,66.4,,,75.3,5.4,26.1,56.7,1.068,0.991,4.4,52.1,111.7,32.9,53.7,71.7,6.9,21,9.8,23,36.5,33.8,70.3,52.8,5.1,7.8,12.5,12.9,0.963,0.606,0.571,70.5,16.6,69.9,-5.4,41.3,47.7,31.6,47.9,73.7,103,12.2,12.3,0.988,-0.03,12.9,0.0
Mississippi St,Mississippi St.,Mississippi St.,Mississippi St.,1280,SEC,MM,23,8,8,E8,E,EAST,,34,13.2,34,,47,156,,1.106,1.031,21,13,8,,21,12,11,32,20.11,23,118.7,43,98.6,47,68.1,,,79.5,5.4,28.6,63.1,1.106,1.031,0.1,51.9,109.6,31.4,55.5,70.1,8.5,26.9,11.3,23.9,37.9,32.2,72.6,51.5,4.5,9.1,15.2,10.7,1.416,0.618,0.546,71.9,17.4,74.2,-5.4,43.9,51.8,35.8,50.3,69.7,109.8,13.5,13.3,1.013,0.40,13.6,2.9
Bradley,Bradley,Bradley,Bradley,1133,MVC,MM,15,18,,,,,,80,5.9,86,,49,191,,1.105,1.015,22,11, ,,25,9,0,95,7.09,91,111.5,111,104.4,125,65.6,,,75.4,6.2,26.5,54.8,1.105,1.015,9,56.7,119.3,39.7,54.6,74.8,9.2,23.2,6.8,24.4,34.2,23.9,73.4,51.1,3.8,6,14,11.6,1.208,0.75,0.8,68.3,16.8,69.3,-6.2,40.8,47.7,32.3,47.2,72.8,103.6,12.1,10.5,1.151,0.06,9.8,-1.8
Dayton,Dayton,Dayton,Dayton,1173,A10,MM,13,19,,,,,,67,7.5,69,,57,142,,1.098,1.038,24,7,7,,22,12,0,74,10.99,51,115.6,114,104.6,129,65.9,,,75.4,4.1,25.6,56.2,1.098,1.038,1.9,53,113.8,36.1,52.1,75.1,8.3,23.1,8.1,22.5,33.8,27.1,73.3,50.8,3.4,7.1,15.2,10.4,1.461,0.667,0.5,68.7,16.1,71.3,-4.1,44.1,51.1,32.9,52.5,74.8,109.4,12.7,11.8,1.074,0.39,10.5,0.1
UCSD,UC San Diego,UC San Diego,UC San Diego,1471,BW,MM,22,9,12,S12,S,SOUTH,,35,9.5,56,,24,283,,1.126,0.915,21,11, ,,0,0,0,36,18.78,57,115.2,28,96.5,30,65.7,,,77.5,14.5,26.5,57.4,1.126,0.915,7.3,55.1,116.6,36.1,56,74.7,10.3,28.5,6.9,22.3,32.7,23,74.9,48.6,2.2,9.4,15,9,1.672,0.849,0.4,68.9,16.7,63,-14.5,40.4,47.8,33.1,46.3,74.6,103.2,11.2,15.6,0.722,0.95,11.6,2.6
Howard,Howard,Howard,Howard,1224,MEAC,MM,12,19,,,,,,316,-8.9,248,,149,20,,1.038,1.109,15,15,0,,22,12,16,312,-13.21,185,103.7,266,116.9,346,69.9,,,75.6,-5.1,26.2,56.4,1.038,1.109,1.2,53.5,114.7,36.6,52.6,76,7.9,21.6,8.1,20.5,31.9,27.8,67.4,48.1,2.9,5.6,14.9,15.1,0.986,0.357,0.5,72.8,19.2,80.7,5.1,46.6,52.3,33.8,53.1,77.2,114,12.6,11.8,1.07,-0.08,8.5,-6.6
Cincinnati,Cincinnati,Cincinnati,Cincinnati,1153,B12,P5,17,14,,,,,,50,12.2,40,,140,259,,1.042,0.971,20,14, ,,21,12,0,55,14.81,97,110.5,21,95.7,24,65.4,,,70.5,4.8,26.9,60.1,1.042,0.971,2.3,50.9,105.7,32,52.6,66.8,7.3,22.9,9.9,21.8,34.5,31.3,72.8,50.7,4.4,7.3,13.7,10.2,1.337,0.546,0.286,67.7,13.9,65.7,-4.8,42.9,48.6,33.2,48,75.4,103.6,12.1,13,0.93,0.41,11.7,1.5
Boston Col,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.0,0.0
Stetson,Stetson,Stetson,Stetson,1391,ASun,MM,8,24,,,,,,353,-12.6,269,,245,6,,0.981,1.150,17,17,0,,17,13,0,352,-19.29,238,99.4,277,118.7,358,67.6,,,69.9,-12,24.6,55.9,0.981,1.15,-2.8,50.3,108,33.6,50.2,73.9,7.1,21,6.7,22.6,32.3,21.7,68.2,45.8,2.9,5,11.2,13,0.864,0.2,0.444,71.2,14.8,81.9,12,45.7,53.1,35.9,52.6,75.8,112.4,16.3,9.1,1.795,-0.93,7.9,-5.1
Georgia St,Georgia St.,Georgia St.,Georgia St.,1209,SB,MM,15,16,,,,,,265,-5.1,209,,154,31,,1.035,1.098,21,12,0,,0,0,0,266,-8.24,154,106.4,251,114.6,320,68.9,,,74.2,-4.5,26.7,59.8,1.035,1.098,-0.7,50.4,106.9,34.4,49.8,68.6,6.8,19.9,9.9,24.1,37.6,30.6,70.3,50.8,3,5,11.7,11.8,0.995,0.406,0.539,71.6,16,78.7,4.5,44.2,51.1,33.3,51.9,72.2,107.6,15.4,9,1.706,-0.71,8.0,-3.8
South Dakota,South Dakota,South Dakota,South Dakota,1377,Sum,MM,17,15,,,,,,233,-5.3,212,,62,16,,1.096,1.125,12,20,0,,0,0,0,241,-6.14,117,109.3,257,115.4,332,74.6,,,84.4,-2.2,28.1,63.6,1.096,1.125,-4.7,50.1,109.1,31.6,51.7,71.4,7.5,23.9,9.9,22.1,35.2,27.6,67,46.5,3.1,7.3,11.1,9.5,1.173,0.533,0.667,77,19.1,86.6,2.2,47.8,54.8,35.9,55.4,71.8,115.5,15.6,13,1.2,-0.03,10.4,0.9
Tulsa,Tulsa,Tulsa,Tulsa,1409,Amer,MM,12,20,,,,,,271,-4.5,193,,221,110,,0.996,1.053,16,15, ,,0,0,0,268,-8.61,217,101.4,195,110,242,66.2,,,70.1,-4,24.6,57.5,0.996,1.053,-0.2,49.5,105,31.2,51.5,67.2,7.6,24.3,8.1,23.7,35.4,24.9,72,48.5,2.7,6,13.4,11.5,1.156,0.355,0.333,70.4,16,74.2,4,44.1,49.7,32.7,50,70.2,106,12.4,9.8,1.262,-0.11,8.7,-2.8
Wash State,,,,,,,,,,,,,,104,,,,,,,,,,,,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.0,0.0
Boise St,Boise St.,Boise St.,Boise St.,1129,MWC,MM,22,9,,,,,,44,10.8,48,,51,243,,1.103,0.983,22,10,0,,24,9,10,50,15.92,46,116,54,100,60,65.2,,,74.1,8,24.9,55,1.103,0.983,2.5,52.1,113.6,31,56.3,77.9,7.4,23.8,9.2,24.4,36.1,31.5,79.9,55.4,2.5,5.2,14.1,11.1,1.264,0.697,0.6,67.2,16.2,66.1,-8,43.4,49.6,34.2,48.6,69.1,105.1,10.7,10.6,1.009,0.26,7.7,-3.4
San Diego St,San Diego St.,San Diego St.,San Diego St.,1361,MWC,MM,17,15,,,,,,52,9.8,55,,187,274,,1.016,0.949,24,10,5,8000,27,6,5,46,16.37,105,109.8,13,93.5,13,66,,,69.8,4.6,25.1,56.9,1.016,0.949,4.6,50.5,106.3,32.6,51.5,66.5,7.4,22.6,8.2,23.2,34.9,26.8,71.6,49.7,5.4,7.5,12.7,11.2,1.137,0.667,0.778,68.7,18.5,65.2,-4.6,38.6,45.9,31.2,45.1,70.7,100.6,10.7,13,0.821,0.32,12.9,1.7
USC,USC,USC,Southern California,1425,B10,P5,17,15,,,,,,70,9.4,58,,72,85,,1.084,1.065,15,18, ,,22,10,10,63,12.96,38,116.6,96,103.7,108,68.2,,,76.9,1.4,27.2,56.4,1.084,1.065,2.2,54.6,116.2,36.7,54.3,74.6,7.2,19.5,7.7,21.1,31.3,27.2,71.3,49.3,3,6.4,15.5,12.4,1.25,0.485,0.286,70.9,17.8,75.5,-1.4,46.1,52.4,32.9,54.3,75.4,112.5,15.5,12.4,1.252,0.00,9.4,-3.0
Saint Louis,Saint Louis,Saint Louis,Saint Louis,1387,A10,MM,20,11,,,,,,101,3.2,102,,126,142,,1.052,1.038,13,20, ,,21,12,0,106,5.14,117,109.3,108,104.2,121,67.3,,,73.6,1,26.2,55.2,1.052,1.038,7.1,56.3,116.7,35.1,59.9,69.2,9.7,27.7,6.3,25.5,34.8,21.4,73.2,50,2.8,6,14.8,12.7,1.165,0.531,0.6,69.9,14.7,72.6,-1,42.5,49.2,33.7,48.3,71.4,103.7,12.9,9.8,1.324,-0.16,8.8,-3.9
California,California,California,California,1143,ACC,P5,14,19,,,,,,125,4.0,96,,124,76,,1.053,1.069,13,19, ,,0,0,0,112,4.67,92,111.3,141,106.6,170,67.5,,,75.6,-1.2,25.4,60.7,1.053,1.069,-5.2,47.8,105.2,31.5,48.2,74.6,7.2,22.9,11.3,22.1,37.5,32.2,73.3,51.8,3.7,6.3,10.5,11.6,0.903,0.424,0.3,71.8,16.5,76.8,1.2,46.8,53,37.6,51.3,74.1,112.7,11.8,11.4,1.04,-0.14,10.0,-1.6
N Kentucky,Northern Kentucky,Northern Kentucky,Northern Ky.,1297,Horz,MM,20,12,,,,,,229,-4.5,193,,181,134,,1.018,1.042,18,15, ,,22,12,16,234,-5.7,200,102.6,172,108.3,208,66.1,,,70.6,-1.6,25.3,58.5,1.018,1.042,-2.7,49.8,105,32.7,50.3,67.2,7.7,23.6,9.6,20.5,32.7,29.6,69.2,48.4,3.2,7.4,13.7,11.7,1.168,0.484,0.556,69.3,15.8,72.2,1.6,45.1,52.5,37,50.6,74.1,111.3,13.9,13.5,1.029,0.14,10.6,-1.1
North Dakota,North Dakota,North Dakota,North Dakota,1315,Sum,MM,14,19,,,,,,275,-6.8,226,,101,7,,1.064,1.146,19,15,0,,13,20,0,265,-8.19,136,107.6,260,115.8,337,69,,,76.3,-5.9,26.8,62.1,1.064,1.146,-6.8,49.7,106,32.5,50.3,70.1,8.1,24.8,11.5,21.8,36.5,32.5,72.3,51,2.5,5.3,12.1,11.7,1.037,0.3,0.5,71.7,17.1,82.2,5.9,49,56.5,37.1,57.1,74.6,119,14,10.5,1.329,-0.29,7.8,-3.9
Kent St,Kent St.,Kent St.,Kent St.,1245,MAC,MM,21,11,,,,,,128,1.9,111,,140,241,,1.042,0.984,17,17, ,,28,6,13,136,2.65,171,105.4,85,102.8,96,66,,,72.5,4.1,25.9,60.4,1.042,0.984,0.3,48.7,104.9,31.2,49.8,74.8,7,22.4,10.9,23,37.1,33.9,74.5,53.3,3.1,7.4,11.8,11.7,1.008,0.647,0.667,69.5,18.3,68.4,-4.1,41.8,48.4,31.2,49.6,74.2,105.9,13,12.4,1.045,-0.04,10.5,-1.2
Cal St Nrdge,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.0,0.0
Longwood,Longwood,Longwood,Longwood,1255,BSth,MM,20,13,,,,,,210,-1.6,156,,97,94,,1.068,1.062,21,13,16,,20,12,0,211,-3.86,165,105.9,192,109.8,239,69,,,76.6,0.4,25.8,56.5,1.068,1.062,-4.6,51.3,111.5,32.9,52.3,72.4,6.3,19.2,9.6,20.6,33.3,30.6,71.8,50.5,2.1,7.5,12.8,12.7,1.014,0.517,0.556,71.7,18.7,76.1,-0.4,48.9,55.9,33.7,59.8,68.7,117,13.3,14.6,0.917,0.10,9.6,-3.1
Northwestern,Northwestern,Northwestern,Northwestern,1321,B10,P5,19,12,,,,,,53,11.2,47,,129,215,,1.051,1.004,21,11,9,20000,21,11,7,45,16.42,64,113.9,36,97.5,39,64.9,,,72.4,3.3,26.1,59.1,1.051,1.004,-0.1,49.8,106.6,33.2,49.7,73.3,6.7,20.2,9.2,21.5,33.8,28.6,72.9,49.8,3.5,6.9,14.5,10,1.459,0.515,0.385,68.9,17.6,69.2,-3.3,43.3,49.9,33.8,49.4,75,108.4,14.3,13.3,1.077,0.38,10.4,0.4
Montana St,Montana St.,Montana St.,Montana St.,1286,BSky,MM,12,20,,,,,,186,-1.2,143,,151,145,,1.036,1.037,11,21,0,,25,9,14,186,-2.04,172,105.3,158,107.3,189,65.8,,,70.7,-0.1,24.9,54.9,1.036,1.037,4,52.8,111.8,34.3,53.8,72.5,8.1,23.6,5.3,22.8,30.6,18.3,72.8,46.4,3.5,6.1,13,10.1,1.285,0.438,0.231,68.2,16.1,70.7,0.1,44,48.8,29.8,50.6,77.2,106.1,11.7,10.3,1.143,0.14,9.6,-0.5
Columbia,Columbia,Columbia,Columbia,1162,Ivy,MM,12,20,,,,,,272,-4.7,200,,111,21,,1.059,1.107,20,13,0,,0,0,0,278,-9.56,159,106.3,261,115.9,338,70.7,,,77.1,-3.5,28,60.8,1.059,1.107,-3.8,52.6,111.1,33.8,53.9,72.8,8,23.8,7.5,22.9,33.6,23.6,74.6,49.1,2.1,7.3,16.8,11,1.531,0.4,0.429,72.8,15.7,80.6,3.5,48.2,56.4,39.2,54.6,73.1,117.1,18.8,11.7,1.613,-0.08,9.4,-1.6
Austin Peay,Austin Peay,Austin Peay,Austin Peay,1122,ASun,MM,14,17,,,,,,282,-7.1,231,,205,41,,1.008,1.091,19,15,0,,0,0,0,274,-9.24,209,101.8,212,111.1,262,66.1,,,70.1,-5.7,24.9,59.4,1.008,1.091,-5.1,48.7,103.8,34,47.1,71.3,8.1,23.9,7.8,21.3,32.3,23.2,71.4,46.1,2.7,6.6,12.3,10,1.232,0.387,0.286,69.5,17.9,75.8,5.7,47,53.8,37.9,52,73.1,114.3,13.6,11.4,1.195,0.04,9.3,-0.7
Yale,Yale,Yale,Yale,1463,Ivy,MM,20,7,13,S13,S,SOUTH,,72,8.1,67,,14,212,,1.143,1.005,22,9,13,50000,21,8,0,73,11.04,59,115.1,100,104,117,67.2,,,80.7,9.8,29.5,60.8,1.143,1.005,5.6,54.7,115.3,38.4,53.3,73.4,7.5,19.6,9.1,25.8,38.1,30.2,76.5,54.4,3.5,5.7,15.8,10,1.576,0.724,0.625,70.6,16.4,70.9,-9.8,41.1,49.1,33.4,48.2,75.8,105.6,14,11.1,1.268,0.31,9.2,-0.8
St Bonavent,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.0,0.0
S Alabama,South Alabama,South Alabama,South Alabama,1375,SB,MM,21,11,,,,,,123,1.0,124,,104,253,,1.061,0.977,15,17,0,,19,16,0,121,4.1,140,107.4,90,103.3,102,63.1,,,71.1,5.6,24.7,56.7,1.061,0.977,2.3,50.8,108.2,31.7,53.6,70.9,8.2,25.9,8.2,23,35,26.2,68.6,48.8,2.6,8.8,13.8,9.5,1.451,0.633,0.5,67,13.8,65.5,-5.6,38.7,48.5,33.1,46.9,69.5,102.2,15.5,13.5,1.151,0.30,11.4,1.9
Hofstra,Hofstra,Hofstra,Hofstra,1220,CAA,MM,15,18,,,,,,217,-2.4,168,,258,248,,0.962,0.979,20,13, ,,24,9,0,220,-4.5,257,97.9,81,102.4,93,63.6,,,64.5,-1.1,23.3,55.7,0.962,0.979,3,48.9,103.3,33.2,48.1,70.8,7.8,23.6,7.4,24.4,35,23.5,73.8,49.3,3.9,5.8,13,11.5,1.126,0.419,0.385,67,17.7,65.6,1.1,39.1,45.9,33.9,42.6,69.8,100.3,11.4,10.7,1.063,0.06,9.7,-1.8
